gene_id,gene_name,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells
PA14_08280,PA14_08280,100,0.001175739076366514,0.001175048436467205,99.886948165734,104.0,4.653960350157523,65
PA14_08300,PA14_08300,100,0.0012435701769261207,0.001242797583983013,99.886948165734,110.0,4.709530201312334,88
PA14_08310,PA14_08310,14,0.00019218811825221863,0.00019216965248171653,99.98417274320276,17.0,2.8903717578961645,13
PA14_08320,PA14_08320,5,5.6525917133005484e-05,5.652431960355255e-05,99.9943474082867,5.0,1.791759469228055,4
PA14_08350,PA14_08350,24,0.0002713244022384263,0.00027128760042947,99.97286755977616,24.0,3.2188758248682006,16
PA14_08370,PA14_08370,291,0.0035724379628059464,0.0035660719632275833,99.67101916228592,316.0,5.75890177387728,245
PA14_08380,PA14_08380,145,0.00175230343112317,0.0017507699386338908,99.83607484031428,155.0,5.049856007249537,126
PA14_08440,PA14_08440,4,4.5220733706404386e-05,4.521971127984905e-05,99.99547792662936,4.0,1.6094379124341003,4
PA14_08450,PA14_08450,4,4.5220733706404386e-05,4.521971127984905e-05,99.99547792662936,4.0,1.6094379124341003,3
PA14_08470,PA14_08470,121,0.0014470634786049404,0.0014460174912012426,99.86320728053812,128.0,4.859812404361672,102
PA14_08480,PA14_08480,895,0.010265106551353795,0.010212778144878249,98.9881860833192,908.0,6.812345094177479,775
PA14_08510,PA14_08510,47,0.0005539539879034537,0.0005538006120325995,99.94686563789497,49.0,3.912023005428146,42
PA14_08520,PA14_08520,125,0.0017409982476965689,0.0017394844669856972,99.85868520716748,154.0,5.043425116919247,106
PA14_08540,PA14_08540,1343,0.017602170595217907,0.017449046654922407,98.48171386580748,1557.0,7.351158226430694,1111
PA14_08560,PA14_08560,584,0.006839635973093663,0.006816351772979171,99.3397772878865,605.0,6.406879986069314,491
PA14_08650,PA14_08650,117,0.0013227064609123284,0.0013218324553384473,99.86772935390876,117.0,4.770684624465665,102
PA14_08660,PA14_08660,12,0.00014696738454581426,0.00014695658589777388,99.98643377988809,13.0,2.639057329615259,10
PA14_08680,PA14_08680,762,0.009620711096037533,0.009574726754499722,99.138545022893,851.0,6.747586526829315,629
